,last_name,first_name,birthday,gender,type,state,party
994,Mills,Elijah,1776-12-01,M,sen,MA,Adams
1079,Lloyd,James,,M,sen,MA,Adams
1122,McIlvaine,Joseph,1769-10-02,M,sen,NJ,Adams
1145,Thomas,Jesse,,M,sen,IL,Adams
1152,Van Dyke,Nicholas,1770-12-20,M,sen,DE,Adams
1165,Bouligny,Charles,1773-08-22,M,sen,LA,Adams
1167,Adams,Parmenio,1776-09-09,M,rep,NY,Adams
1172,Badger,Luther,1785-04-10,M,rep,NY,Adams
1173,Barton,David,1783-12-14,M,sen,MO,Adams
1175,Bradley,William,1782-03-23,M,rep,VT,Adams
1176,Campbell,John,1782-02-23,M,rep,OH,Adams
1181,Cook,Daniel,,M,rep,IL,Adams
1184,Eastman,Nehemiah,1782-06-16,M,rep,NH,Adams
1187,Estil,Benjamin,1780-03-13,M,rep,VA,Adams
1190,Fosdick,Nicoll,1785-11-09,M,rep,NY,Adams
1197,Hasbrouck,Abraham,1791-11-29,M,rep,NY,Adams
1198,Hayden,Moses,,M,rep,NY,Adams
1199,Henry,John,1793-01-17,M,rep,KY,Adams
1201,Herrick,Ebenezer,1785-10-21,M,rep,ME,Adams
1203,Hobart,Aaron,1787-06-26,M,rep,MA,Adams
1204,Hugunin,Daniel,1790-02-06,M,rep,NY,Adams
1205,Humphrey,Charles,1792-02-14,M,rep,NY,Adams
1206,Jennings,David,,M,rep,OH,Adams
1207,Johnson,Francis,1776-06-19,M,rep,KY,Adams
1210,Kidder,David,1787-12-08,M,rep,ME,Adams
1211,Kittera,Thomas,1789-03-21,M,rep,PA,Adams
1213,Lathrop,Samuel,1772-05-01,M,rep,MA,Adams
1214,Lincoln,Enoch,1788-12-28,M,rep,ME,Adams
1217,Markley,Philip,1789-07-02,M,rep,PA,Adams
1218,Marks,William,1778-10-13,M,sen,PA,Adams
1219,Martin,Robert,1798-01-14,M,rep,MD,Adams
1220,McManus,William,,M,rep,NY,Adams
1224,Miller,John,1774-11-10,M,rep,NY,Adams
1229,Porter,Timothy,1785-11-28,M,rep,NY,Adams
1230,Powell,Alfred,1781-03-06,M,rep,VA,Adams
1232,Ross,Henry,1790-05-09,M,rep,NY,Adams
1234,Sands,Joshua,1757-10-12,M,rep,NY,Adams
1235,Scott,John,1785-05-18,M,rep,MO,Adams
1236,Shannon,Thomas,1786-11-15,M,rep,OH,Adams
1238,Taylor,Robert,1763-04-29,M,rep,VA,Adams
1241,Trimble,David,,M,rep,KY,Adams
1242,White,Bartow,1776-11-07,M,rep,NY,Adams
1243,Whitmore,Elias,1772-03-02,M,rep,NY,Adams
1244,Willey,Calvin,1776-09-15,M,sen,CT,Adams
1247,Worthington,Thomas,1782-11-25,M,rep,MD,Adams
1249,Bateman,Ephraim,1780-07-09,M,sen,NJ,Adams
1252,Rodney,Daniel,1764-09-10,M,sen,DE,Adams
1253,Sanford,Nathan,1777-11-05,M,sen,NY,Adams
1256,Allen,Samuel,1772-01-05,M,rep,MA,Adams
1257,Anderson,Samuel,,M,rep,PA,Adams
1258,Baldwin,John,1772-04-05,M,rep,CT,Adams
1259,Barker,David,1797-01-08,M,rep,NH,Adams
1262,Barney,John,1785-01-18,M,rep,MD,Adams
1263,Bartlett,Ichabod,1786-07-24,M,rep,NH,Adams
1265,Bates,Edward,1793-09-04,M,rep,MO,Adams
1266,Beecher,Philemon,,M,rep,OH,Adams
1268,Blake,Thomas,1792-06-14,M,rep,IN,Adams
1269,Brent,William,1784-02-20,M,rep,LA,Adams
1270,Brown,Titus,1786-02-11,M,rep,NH,Adams
1271,Bryan,John,1798-11-04,M,rep,NC,Adams
1272,Buck,Daniel,1789-04-19,M,rep,VT,Adams
1273,Buckner,Richard,1763-07-16,M,rep,KY,Adams
1277,Chase,Samuel,,M,rep,NY,Adams
1279,Culpepper,John,,M,rep,NC,Adams
1280,Davenport,John,1788-01-09,M,rep,OH,Adams
1288,Garnsey,Daniel,1779-06-17,M,rep,NY,Adams
1293,Healy,Joseph,1776-08-21,M,rep,NH,Adams
1299,Leffler,Isaac,1788-11-07,M,rep,VA,Adams
1300,Little,Peter,1775-12-11,M,rep,MD,Adams
1301,Locke,John,1764-02-14,M,rep,MA,Adams
1302,Long,John,1785-02-26,M,rep,NC,Adams
1304,Markell,Henry,1792-02-07,M,rep,NY,Adams
1308,McLean,William,1794-08-10,M,rep,OH,Adams
1309,Merwin,Orange,1777-04-07,M,rep,CT,Adams
1310,Miner,Charles,1780-02-01,M,rep,PA,Adams
1314,Muhlenberg,Francis,1795-04-22,M,rep,OH,Adams
1315,Noble,James,1785-12-16,M,sen,IN,Adams
1316,O’Brien,Jeremiah,1778-01-21,M,rep,ME,Adams
1321,Phelps,Elisha,1779-11-16,M,rep,CT,Adams
1322,Plant,David,1783-03-29,M,rep,CT,Adams
1324,Ruggles,Benjamin,1783-02-21,M,sen,OH,Adams
1326,Seymour,Horatio,1778-05-31,M,sen,VT,Adams
1327,Sinnickson,Thomas,1786-12-13,M,rep,NJ,Adams
1328,Sloane,John,,M,rep,OH,Adams
1334,Thompson,Hedge,1780-01-28,M,rep,NJ,Adams
1335,Tucker,Ebenezer,1758-11-15,M,rep,NJ,Adams
1338,Van Rensselaer,Stephen,1764-11-01,M,rep,NY,Adams
1339,Wales,George,1792-05-13,M,rep,VT,Adams
1341,Whipple,Thomas,,M,rep,NH,Adams
1342,Wilson,James,1779-04-28,M,rep,PA,Adams
1345,Wood,Silas,1769-09-14,M,rep,NY,Adams
1346,Woodcock,David,,M,rep,NY,Adams
1347,Woods,John,1794-10-18,M,rep,OH,Adams
1348,Wright,John,1783-08-17,M,rep,OH,Adams
1350,Burnet,Jacob,1770-02-22,M,sen,OH,Adams
1398,Holmes,John,1773-03-14,M,sen,ME,Adams
1429,Silsbee,Nathaniel,1773-01-14,M,sen,MA,Adams
1472,Chambers,Ezekiel,1788-02-28,M,sen,MD,Adams
1501,Hendricks,William,1782-11-12,M,sen,IN,Adams
2033,Harrison,William,1773-02-09,M,sen,OH,Adams
