,last_name,first_name,birthday,gender,type,state,party
2353,Campbell,John,1800-10-10,M,rep,PA,American
2354,Campbell,William,1806-06-10,M,rep,NY,American
2416,Miller,William,1793-08-22,M,rep,NY,American
2437,Seaman,Henry,1805-04-16,M,rep,NY,American
2461,Woodruff,Thomas,1804-05-03,M,rep,NY,American
2677,Levin,Lewis,1808-11-10,M,rep,PA,American
2909,Bell,John,1796-02-18,M,sen,TN,American
2964,Houston,Samuel,1793-03-02,M,sen,TX,American
3028,Thompson,John,1810-12-14,M,sen,KY,American
3047,Akers,Thomas,1828-10-04,M,rep,MO,American
3062,Broom,Jacob,1808-07-25,M,rep,PA,American
3065,Campbell,John,1820-12-08,M,rep,KY,American
3070,Cox,Leander,1812-05-07,M,rep,KY,American
3071,Cullen,Elisha,1799-04-23,M,rep,DE,American
3075,De Witt,Alexander,1798-04-02,M,rep,MA,American
3080,Edwards,Francis,1817-05-28,M,rep,NY,American
3082,Evans,Lemuel,1810-01-08,M,rep,TX,American
3085,Foster,Nathaniel,1809-08-25,M,rep,GA,American
3096,Hoffman,Henry,1825-11-10,M,rep,MD,American
3108,Lake,William,1808-01-06,M,rep,MS,American
3112,Marshall,Alexander,1808-02-11,M,rep,KY,American
3124,Paine,Robert,1812-02-18,M,rep,NC,American
3132,Puryear,Richard,1801-02-09,M,rep,NC,American
3133,Reade,Edwin,1812-11-13,M,rep,NC,American
3134,Rivers,Thomas,1819-09-18,M,rep,TN,American
3143,Smith,William,1815-03-27,M,rep,AL,American
3144,Sneed,William,1812-08-27,M,rep,TN,American
3146,Swope,Samuel,1809-03-01,M,rep,KY,American
3148,Thurston,Benjamin,1804-06-29,M,rep,RI,American
3149,Trafton,Mark,1810-08-01,M,rep,MA,American
3152,Valk,William,1806-10-12,M,rep,NY,American
3154,Walker,Percy,,M,rep,AL,American
3157,Welch,William,1818-12-10,M,rep,CT,American
3162,Whitney,Thomas,1807-05-02,M,rep,NY,American
3206,Eustis,George,1828-09-28,M,rep,LA,American
3249,Marshall,Humphrey,1812-01-13,M,rep,KY,American
3272,Ready,Charles,1802-12-22,M,rep,TN,American
3274,Ricaud,James,1808-02-11,M,rep,MD,American
3293,Trippe,Robert,1819-12-21,M,rep,GA,American
3294,Underwood,Warner,1808-08-07,M,rep,KY,American
3302,Zollicoffer,Felix,1812-05-19,M,rep,TN,American
3323,Bouligny,John,1824-02-05,M,rep,LA,American
3373,Harris,James,1817-11-20,M,rep,MD,American
3470,Woodson,Samuel,1815-10-24,M,rep,MO,American
