,last_name,first_name,birthday,gender,type,state,party
1477,Condit,Silas,1778-08-18,M,rep,NJ,Anti Jacksonian
1479,Cooke,Eleutheros,1787-12-25,M,rep,OH,Anti Jacksonian
1486,Dearborn,Henry,1783-03-03,M,rep,MA,Anti Jacksonian
1526,Maxwell,Lewis,1790-04-17,M,rep,VA,Anti Jacksonian
1533,Nelson,Jeremiah,1769-09-14,M,rep,MA,Anti Jacksonian
1537,Pendleton,Edmund,,M,rep,NY,Anti Jacksonian
1548,Southard,Isaac,1783-08-30,M,rep,NJ,Anti Jacksonian
1549,Stanbery,William,1788-08-10,M,rep,OH,Anti Jacksonian
1559,Wilkin,Samuel,1793-12-17,M,rep,NY,Anti Jacksonian
1564,Allen,John,1797-09-25,M,rep,VA,Anti Jacksonian
1568,Baylies,William,1776-09-15,M,rep,MA,Anti Jacksonian
1570,Bell,James,1796-10-16,M,rep,OH,Anti Jacksonian
1571,Binney,Horace,1780-01-04,M,rep,PA,Anti Jacksonian
1578,Burges,Tristam,1770-02-26,M,rep,RI,Anti Jacksonian
1581,Chilton,Thomas,1798-07-30,M,rep,KY,Anti Jacksonian
1585,Crockett,David,1786-08-17,M,rep,TN,Anti Jacksonian
1587,Davis,Amos,1794-08-15,M,rep,KY,Anti Jacksonian
1590,Dennis,Littleton,1786-07-21,M,rep,MD,Anti Jacksonian
1597,Gholson,James,,M,rep,VA,Anti Jacksonian
1600,Gorham,Benjamin,1775-02-13,M,rep,MA,Anti Jacksonian
1616,Love,James,1795-05-12,M,rep,KY,Anti Jacksonian
1621,Marshall,Thomas,1794-01-15,M,rep,KY,Anti Jacksonian
1629,Moore,Samuel,1796-02-09,M,rep,VA,Anti Jacksonian
1651,Tompkins,Christopher,1780-03-24,M,rep,KY,Anti Jacksonian
1652,Tweedy,Samuel,1776-03-08,M,rep,CT,Anti Jacksonian
1654,Watmough,John,1793-12-06,M,rep,PA,Anti Jacksonian
1658,Wilson,Edgar,1800-10-18,M,rep,VA,Anti Jacksonian
1680,Claiborne,Nathaniel,1777-11-14,M,rep,VA,Anti Jacksonian
1740,McCarty,Johnathan,1795-08-03,M,rep,IN,Anti Jacksonian
1767,Steele,John,1796-02-22,M,rep,MD,Anti Jacksonian
1776,Washington,George,1789-08-20,M,rep,MD,Anti Jacksonian
