,last_name,first_name,birthday,gender,type,state,party
1424,Rose,Robert,1774-02-24,M,rep,NY,Anti Masonic
1455,Allison,Robert,1777-03-10,M,rep,PA,Anti Masonic
1459,Babcock,William,,M,rep,NY,Anti Masonic
1461,Barstow,Gamaliel,1784-07-20,M,rep,NY,Anti Masonic
1470,Cahoon,William,1774-01-12,M,rep,VT,Anti Masonic
1475,Collier,John,1787-11-13,M,rep,NY,Anti Masonic
1478,Cooke,Bates,1787-12-23,M,rep,NY,Anti Masonic
1554,Tracy,Phineas,1786-12-25,M,rep,NY,Anti Masonic
1558,Wheeler,Grattan,1783-08-25,M,rep,NY,Anti Masonic
1566,Barnitz,Charles,1780-09-11,M,rep,PA,Anti Masonic
1589,Deming,Benjamin,,M,rep,VT,Anti Masonic
1591,Dickson,John,1783-06-01,M,rep,NY,Anti Masonic
1622,Martindale,Henry,1780-05-06,M,rep,NY,Anti Masonic
1656,Whittlesey,Frederick,1799-06-12,M,rep,NY,Anti Masonic
1666,Banks,John,1793-10-17,M,rep,PA,Anti Masonic
1677,Chambers,George,1786-02-24,M,rep,PA,Anti Masonic
1681,Clark,William,1774-02-18,M,rep,PA,Anti Masonic
1686,Denny,Harmar,1794-05-13,M,rep,PA,Anti Masonic
1708,Hiester,William,1790-10-10,M,rep,PA,Anti Masonic
1714,Jackson,William,1783-09-02,M,rep,MA,Anti Masonic
1715,Janes,Henry,1792-10-10,M,rep,VT,Anti Masonic
1749,Pearce,Dutee,1789-04-03,M,rep,RI,Anti Masonic
1765,Sloane,Jonathan,,M,rep,OH,Anti Masonic
1815,Darlington,Edward,1795-09-17,M,rep,PA,Anti Masonic
1877,Potts,"David,",1794-11-27,M,rep,PA,Anti Masonic
1922,Biddle,Richard,1796-03-25,M,rep,PA,Anti Masonic
1940,Davies,Edward,,M,rep,PA,Anti Masonic
