,last_name,first_name,birthday,gender,type,state,party
1360,Beekman,Thomas,,M,rep,NY,Anti-Jacksonian
1386,Frelinghuysen,Theodore,1787-03-28,M,sen,NJ,Anti-Jacksonian
1433,Sprague,Peleg,1793-04-27,M,sen,ME,Anti-Jacksonian
1500,Hanna,Robert,1786-04-06,M,sen,IN,Anti-Jacksonian
1553,Tomlinson,Gideon,1780-12-31,M,sen,CT,Anti-Jacksonian
1556,Waggaman,George,,M,sen,LA,Anti-Jacksonian
1586,Davenport,Thomas,,M,rep,VA,Anti-Jacksonian
1595,Foot,Samuel,1780-11-08,M,rep,CT,Anti-Jacksonian
1638,Porter,Alexander,1785-06-24,M,sen,LA,Anti-Jacksonian
1645,Smith,Nathan,1770-01-08,M,sen,CT,Anti-Jacksonian
1649,Taylor,William,,M,rep,VA,Anti-Jacksonian
1660,Leigh,Benjamin,1781-06-18,M,sen,VA,Anti-Jacksonian
1687,Dickson,David,,M,rep,MS,Anti-Jacksonian
1693,Forester,John,,M,rep,TN,Anti-Jacksonian
