,last_name,first_name,birthday,gender,type,state,party
1561,Tipton,John,1786-08-14,M,sen,IN,Democrat
1624,McKean,Samuel,1787-04-07,M,sen,PA,Democrat
1631,Morris,Thomas,1776-01-03,M,sen,OH,Democrat
1672,Brown,Bedford,1795-06-06,M,sen,NC,Democrat
1711,Hubbard,Henry,1784-05-03,M,sen,NH,Democrat
1721,King,John,1799-04-03,M,sen,GA,Democrat
1756,Robinson,John,1794-04-10,M,sen,IL,Democrat
1757,Ruggles,John,1789-10-08,M,sen,ME,Democrat
1774,Wall,Garret,1783-03-10,M,sen,NJ,Democrat
1783,Nicholas,Robert,,M,sen,LA,Democrat
1785,Parker,Richard,1783-12-27,M,sen,VA,Democrat
1787,Strange,Robert,1796-09-20,M,sen,NC,Democrat
1791,Andrews,John,1803-05-29,M,rep,NY,Democrat
1792,Beers,Cyrus,1786-06-21,M,rep,NY,Democrat
1793,Bicknell,Bennet,1781-11-14,M,rep,NY,Democrat
1794,Birdsall,Samuel,1791-05-14,M,rep,NY,Democrat
1795,Boon,Ratliff,1781-01-18,M,rep,IN,Democrat
1796,Bouldin,James,,M,rep,VA,Democrat
1797,Brodhead,John,1780-10-27,M,rep,NY,Democrat
1798,Bronson,Isaac,1802-10-16,M,rep,NY,Democrat
1799,Bruyn,Andrew,1790-11-18,M,rep,NY,Democrat
1800,Buchanan,Andrew,1780-04-08,M,rep,PA,Democrat
1802,Cambreleng,Churchill,1786-10-24,M,rep,NY,Democrat
1803,Carter,Timothy,1800-08-18,M,rep,ME,Democrat
1805,Chaney,John,1790-01-12,M,rep,OH,Democrat
1807,Cilley,Jonathan,1802-07-02,M,rep,ME,Democrat
1808,Claiborne,John,1809-04-24,M,rep,MS,Democrat
1809,Clay,Clement,1789-12-17,M,sen,AL,Democrat
1810,Cleveland,Jesse,1804-10-25,M,rep,GA,Democrat
1813,Cushman,Samuel,1783-06-08,M,rep,NH,Democrat
1814,Cuthbert,Alfred,1785-12-23,M,sen,GA,Democrat
1816,De Graff,John,1783-10-02,M,rep,NY,Democrat
1818,Edwards,John,1781-08-06,M,rep,NY,Democrat
1820,Farrington,James,1791-10-01,M,rep,NH,Democrat
1821,Fletcher,Richard,1788-01-08,M,rep,MA,Democrat
1822,Fry,Jacob,1802-06-10,M,rep,PA,Democrat
1823,Gallup,Albert,1796-01-30,M,rep,NY,Democrat
1824,Gholson,Samuel,1808-05-19,M,rep,MS,Democrat
1825,Glascock,Thomas,1790-10-21,M,rep,GA,Democrat
1827,Grant,Abraham,1804-04-05,M,rep,NY,Democrat
1828,Grantland,Seaton,1782-06-08,M,rep,GA,Democrat
1829,Gray,Hiram,1801-07-10,M,rep,NY,Democrat
1831,Haley,Elisha,1776-01-21,M,rep,CT,Democrat
1832,Hamer,Thomas,,M,rep,OH,Democrat
1834,Harper,Francis,1800-03-05,M,rep,PA,Democrat
1835,Haynes,Charles,1784-04-15,M,rep,GA,Democrat
1837,Holsey,Hopkins,1779-08-25,M,rep,GA,Democrat
1838,Holt,Orrin,1792-03-13,M,rep,CT,Democrat
1839,Howard,Benjamin,1791-11-05,M,rep,MD,Democrat
1840,Hubley,Edward,,M,rep,PA,Democrat
1841,Hunter,William,,M,rep,OH,Democrat
1842,Ingham,Samuel,1793-09-05,M,rep,CT,Democrat
1843,Jackson,Jabez,,M,rep,GA,Democrat
