,last_name,first_name,birthday,gender,type,state,party
7830,Wefald,Knud,1869-11-03,M,rep,MN,Farmer-Labor
7856,Carss,William,1865-02-15,M,rep,MN,Farmer-Labor
7991,Kvale,Ole,1869-02-06,M,rep,MN,Farmer-Labor
8253,Arens,Henry,1873-11-21,M,rep,MN,Farmer-Labor
8318,Johnson,Magnus,1871-09-19,M,rep,MN,Farmer-Labor
8359,Shoemaker,Francis,1889-04-25,M,rep,MN,Farmer-Labor
8387,Benson,Elmer,1895-09-22,M,sen,MN,Farmer-Labor
8499,Bernard,John,1893-03-06,M,rep,MN,Farmer-Labor
8556,Johnson,Dewey,1899-03-14,M,rep,MN,Farmer-Labor
8561,Kvale,Paul,1896-03-27,M,rep,MN,Farmer-Labor
8572,Lundeen,Ernest,1878-08-04,M,sen,MN,Farmer-Labor
8612,Teigan,Henry,1881-08-07,M,rep,MN,Farmer-Labor
8736,Buckler,Richard,1865-10-27,M,rep,MN,Farmer-Labor
