,last_name,first_name,birthday,gender,type,state,party
33,Cabot,George,1752-12-03,M,sen,MA,Federalist
35,Ellsworth,Oliver,1745-04-29,M,sen,CT,Federalist
53,Williamson,Hugh,1735-12-05,M,rep,NC,Federalist
56,Potts,Richard,1753-07-19,M,sen,MD,Federalist
61,Bradford,William,1729-11-04,M,sen,RI,Federalist
71,Frelinghuysen,Frederick,1753-04-13,M,sen,NJ,Federalist
89,Strong,Caleb,1745-01-09,M,sen,MA,Federalist
93,Vining,John,1758-12-23,M,sen,DE,Federalist
101,Walton,George,,M,sen,GA,Federalist
102,Ames,Fisher,1758-04-09,M,rep,MA,Federalist
103,Bingham,William,1752-03-08,M,sen,PA,Federalist
105,Bourne,Benjamin,1755-09-09,M,rep,RI,Federalist
106,Buck,Daniel,1753-11-09,M,rep,VT,Federalist
108,Crabb,Jeremiah,,M,rep,MD,Federalist
112,Gilbert,Ezekiel,1756-03-25,M,rep,NY,Federalist
114,Gunn,James,1753-03-13,M,sen,GA,Federalist
115,Hancock,George,1754-06-13,M,rep,VA,Federalist
118,Henderson,Thomas,1743-08-15,M,rep,NJ,Federalist
119,Henry,John,,M,sen,MD,Federalist
121,Leonard,George,1729-07-04,M,rep,MA,Federalist
123,Marshall,Humphrey,,M,sen,KY,Federalist
125,Murray,William,1760-02-09,M,rep,MD,Federalist
128,Paine,Elijah,1757-01-21,M,sen,VT,Federalist
131,Read,Jacob,,M,sen,SC,Federalist
135,Smith,Isaac,,M,rep,NJ,Federalist
137,Strudwick,William,,M,rep,NC,Federalist
138,Swift,Zephaniah,1759-02-27,M,rep,CT,Federalist
140,Trumbull,Jonathan,1740-03-26,M,sen,CT,Federalist
143,Goodhue,Benjamin,1748-09-20,M,sen,MA,Federalist
144,Howard,John,1752-06-04,M,sen,MD,Federalist
146,Laurance,John,,M,sen,NY,Federalist
148,Allen,John,1763-06-12,M,rep,CT,Federalist
150,Bradbury,Theophilus,1739-11-13,M,rep,MA,Federalist
151,Brooks,David,,M,rep,NY,Federalist
153,Bullock,Stephen,1735-10-10,M,rep,MA,Federalist
155,Chapman,John,1740-10-18,M,rep,PA,Federalist
156,Chipman,Nathaniel,1752-11-15,M,sen,VT,Federalist
157,Cochran,James,1769-02-11,M,rep,NY,Federalist
158,Coit,Joshua,1758-10-07,M,rep,CT,Federalist
159,Davenport,James,1758-10-12,M,rep,CT,Federalist
160,Ege,George,1748-03-09,M,rep,PA,Federalist
164,Hosmer,Hezekiah,1765-06-07,M,rep,NY,Federalist
165,Latimer,Henry,1752-04-24,M,sen,DE,Federalist
166,Lloyd,James,,M,sen,MD,Federalist
168,Machir,James,,M,rep,VA,Federalist
170,Matthews,William,1755-04-26,M,rep,MD,Federalist
173,Morgan,Daniel,,M,rep,VA,Federalist
174,Parker,Isaac,1768-06-17,M,rep,MA,Federalist
175,Ross,James,1762-07-12,M,sen,PA,Federalist
176,Rutherfurd,John,1760-09-20,M,sen,NJ,Federalist
177,Schuyler,Philip,1733-11-20,M,sen,NY,Federalist
178,Sinnickson,Thomas,1744-12-21,M,rep,NJ,Federalist
179,Sitgreaves,Samuel,1764-03-16,M,rep,PA,Federalist
180,Smith,Jeremiah,1759-11-29,M,rep,NH,Federalist
181,Smith,Nathaniel,1762-01-06,M,rep,CT,Federalist
183,Smith,William,,M,rep,SC,Federalist
184,Sprague,Peleg,1756-12-10,M,rep,NH,Federalist
186,Thomson,Mark,,M,rep,NJ,Federalist
187,Van Alen,John,,M,rep,NY,Federalist
188,Williams,John,,M,rep,NY,Federalist
189,Clayton,Joshua,1744-07-20,M,sen,DE,Federalist
190,Hobart,John,1738-05-06,M,sen,NY,Federalist
191,North,William,,M,sen,NY,Federalist
192,Watson,James,1750-04-06,M,sen,NY,Federalist
193,Bartlett,Bailey,1750-01-29,M,rep,MA,Federalist
194,Brace,Jonathan,1754-11-12,M,rep,CT,Federalist
195,Brown,John,1736-01-27,M,rep,RI,Federalist
199,Cooper,William,1754-12-02,M,rep,NY,Federalist
200,Craik,William,1761-10-31,M,rep,MD,Federalist
201,Davenport,Franklin,,M,rep,NJ,Federalist
202,Dayton,Jonathan,1760-10-16,M,sen,NJ,Federalist
203,Dent,George,,M,rep,MD,Federalist
204,Dexter,Samuel,1761-05-14,M,sen,MA,Federalist
205,Dickson,Joseph,,M,rep,NC,Federalist
206,Edmond,William,1755-09-28,M,rep,CT,Federalist
208,Evans,Thomas,,M,rep,VA,Federalist
209,Freeman,Jonathan,1745-03-21,M,rep,NH,Federalist
211,Glen,Henry,1739-07-13,M,rep,NY,Federalist
213,Goodrich,Elizur,1761-03-24,M,rep,CT,Federalist
214,Gordon,William,1763-04-12,M,rep,NH,Federalist
215,Greene,Ray,1765-02-02,M,sen,RI,Federalist
216,Hartley,Thomas,1748-09-07,M,rep,PA,Federalist
218,Imlay,James,1764-11-26,M,rep,NJ,Federalist
219,Jones,James,,M,rep,GA,Federalist
220,Kittera,John,,M,rep,PA,Federalist
221,Lee,Henry,1756-01-29,M,rep,VA,Federalist
223,Livermore,Samuel,1732-05-14,M,sen,NH,Federalist
224,Lyman,Samuel,1749-01-25,M,rep,MA,Federalist
225,Marshall,John,1755-09-24,M,rep,VA,Federalist
228,Nott,Abraham,1768-02-05,M,rep,SC,Federalist
229,Page,Robert,1765-02-04,M,rep,VA,Federalist
230,Parker,Josiah,1751-05-11,M,rep,VA,Federalist
231,Pinckney,Thomas,1750-10-23,M,rep,SC,Federalist
232,Platt,Jonas,1769-06-30,M,rep,NY,Federalist
233,Powell,Leven,,M,rep,VA,Federalist
234,Reed,John,1751-11-11,M,rep,MA,Federalist
235,Sedgwick,Theodore,1746-05-09,M,rep,MA,Federalist
236,Sewall,Samuel,1757-12-11,M,rep,MA,Federalist
238,Thatcher,George,1754-04-12,M,rep,MA,Federalist
239,Thomas,John,1764-10-15,M,rep,MD,Federalist
240,Thomas,Richard,1744-12-30,M,rep,PA,Federalist
241,Waln,Robert,1765-02-22,M,rep,PA,Federalist
242,Foster,Dwight,1757-12-07,M,sen,MA,Federalist
243,Hindman,William,1743-04-01,M,sen,MD,Federalist
244,Morris,Gouverneur,1752-01-31,M,sen,NY,Federalist
246,Bird,John,1768-11-22,M,rep,NY,Federalist
247,Boude,Thomas,1752-05-17,M,rep,PA,Federalist
254,Fearing,Paul,1762-02-28,M,rep,OH,Federalist
255,Foster,Abiel,1735-08-08,M,rep,NH,Federalist
257,Grove,William,1764-01-15,M,rep,NC,Federalist
258,Henderson,Archibald,1768-08-07,M,rep,NC,Federalist
259,Hill,William,1767-05-01,M,rep,NC,Federalist
265,Lee,Silas,1760-07-03,M,rep,MA,Federalist
268,Mattoon,Ebenezer,1755-08-19,M,rep,MA,Federalist
269,Morris,Lewis,1760-11-02,M,rep,VT,Federalist
270,Morris,Thomas,1771-02-26,M,rep,NY,Federalist
272,Ogden,Aaron,1756-12-03,M,sen,NJ,Federalist
273,Olcott,Simeon,1735-10-01,M,sen,NH,Federalist
274,Peirce,Joseph,1748-06-25,M,rep,NH,Federalist
275,Perkins,Elias,1767-04-05,M,rep,CT,Federalist
276,Read,Nathan,1759-07-02,M,rep,MA,Federalist
277,Rutledge,John,,M,rep,SC,Federalist
278,Sheafe,James,1755-11-16,M,sen,NH,Federalist
279,Shepard,William,1737-12-01,M,rep,MA,Federalist
282,Stratton,John,1769-08-19,M,rep,VA,Federalist
285,Tracy,Uriah,1755-02-02,M,sen,CT,Federalist
286,Upham,George,1768-12-27,M,rep,NH,Federalist
288,Walker,Benjamin,,M,rep,NY,Federalist
290,Woods,Henry,,M,rep,PA,Federalist
293,Plumer,William,1759-06-25,M,sen,NH,Federalist
295,Baldwin,Simeon,1761-12-14,M,rep,CT,Federalist
297,Bruce,Phineas,1762-06-07,M,rep,MA,Federalist
299,Cutler,Manasseh,1742-05-13,M,rep,MA,Federalist
300,Dennis,John,1771-12-17,M,rep,MD,Federalist
301,Dwight,Thomas,1758-10-29,M,rep,MA,Federalist
304,Griffin,Thomas,,M,rep,VA,Federalist
305,Griswold,Gaylord,1767-12-18,M,rep,NY,Federalist
310,Hunt,Samuel,1765-07-08,M,rep,NH,Federalist
312,Lewis,Thomas,,M,rep,VA,Federalist
313,Lowndes,Thomas,1766-01-22,M,rep,SC,Federalist
316,Mitchell,Nahum,1769-02-12,M,rep,MA,Federalist
321,Plater,Thomas,1769-05-09,M,rep,MD,Federalist
323,Purviance,Samuel,1774-01-07,M,rep,NC,Federalist
328,Thatcher,Samuel,1776-07-01,M,rep,MA,Federalist
329,Tibbits,George,1763-01-14,M,rep,NY,Federalist
333,White,Samuel,,M,sen,DE,Federalist
334,Williams,Lemuel,1747-06-18,M,rep,MA,Federalist
343,Betton,Silas,1768-08-26,M,rep,NH,Federalist
351,Dwight,Theodore,1764-12-15,M,rep,CT,Federalist
353,Ellis,Caleb,1767-04-16,M,rep,NH,Federalist
357,Goddard,Calvin,1768-07-17,M,rep,CT,Federalist
358,Griswold,Roger,1762-05-21,M,rep,CT,Federalist
362,Hastings,Seth,1762-04-08,M,rep,MA,Federalist
363,Hough,David,1753-03-13,M,rep,NH,Federalist
365,Livingston,Henry,,M,rep,NY,Federalist
379,Smith,John,1765-02-12,M,rep,CT,Federalist
384,Tenney,Samuel,1748-11-27,M,rep,NH,Federalist
