,last_name,first_name,birthday,gender,type,state,party
2069,Casey,Zadok,1796-03-07,M,rep,IL,Ind. Democrat
2566,Petrie,George,1793-09-08,M,rep,NY,Ind. Democrat
2788,Doty,James,1799-11-05,M,rep,WI,Ind. Democrat
2821,Johnson,John,,M,rep,OH,Ind. Democrat
2848,Polk,William,1815-05-24,M,rep,TN,Ind. Democrat
2911,Bissell,William,1811-04-25,M,rep,IL,Ind. Democrat
3310,Anderson,Thomas,1808-12-08,M,rep,MO,Ind. Democrat
3315,Barr,Thomas,,M,rep,NY,Ind. Democrat
3372,Hamilton,Andrew,1815-01-28,M,rep,TX,Ind. Democrat
3399,Leake,Shelton,1812-11-30,M,rep,VA,Ind. Democrat
3405,Martin,Elbert,,M,rep,VA,Ind. Democrat
3542,Kerrigan,James,1828-12-25,M,rep,NY,Ind. Democrat
4249,Davis,John,1835-05-05,M,rep,WV,Ind. Democrat
4722,Felton,William,1823-06-19,M,rep,GA,Ind. Democrat
4758,O’Brien,James,1841-03-13,M,rep,NY,Ind. Democrat
4759,O’Reilly,Daniel,1838-06-03,M,rep,NY,Ind. Democrat
4764,Persons,Henry,1834-01-30,M,rep,GA,Ind. Democrat
4775,Sawyer,Samuel,1813-11-27,M,rep,MO,Ind. Democrat
4926,Speer,Emory,1848-09-03,M,rep,GA,Ind. Democrat
4993,Finerty,John,1846-09-10,M,rep,IL,Ind. Democrat
5082,Turner,Oscar,1825-02-03,M,rep,KY,Ind. Democrat
5098,York,Tyre,1836-05-04,M,rep,NC,Ind. Democrat
5805,McEttrick,Michael,1848-06-22,M,rep,MA,Ind. Democrat
