,last_name,first_name,birthday,gender,type,state,party
2746,Pratt,Thomas,1804-02-18,M,sen,MD,Ind. Republican-Democrat
2793,Fish,Hamilton,1808-08-03,M,sen,NY,Ind. Republican-Democrat
2799,Geyer,Henry,1790-12-09,M,sen,MO,Ind. Republican-Democrat
2822,Jones,James,1809-04-20,M,sen,TN,Ind. Republican-Democrat
2925,Clayton,John,1796-07-24,M,sen,DE,Ind. Republican-Democrat
3048,Albright,Charles,1816-05-09,M,rep,OH,Ind. Republican-Democrat
3049,Allison,John,1812-08-05,M,rep,PA,Ind. Republican-Democrat
3051,Ball,Edward,1811-11-06,M,rep,OH,Ind. Republican-Democrat
3052,Barbour,Lucien,1811-03-04,M,rep,IN,Ind. Republican-Democrat
3058,Benson,Samuel,1804-11-28,M,rep,ME,Ind. Republican-Democrat
3060,Bishop,James,1816-05-11,M,rep,NJ,Ind. Republican-Democrat
3061,Bradshaw,Samuel,1809-06-10,M,rep,PA,Ind. Republican-Democrat
3067,Child,Thomas,1818-03-22,M,rep,NY,Ind. Republican-Democrat
3068,Clarke,Bayard,1815-03-17,M,rep,NY,Ind. Republican-Democrat
3072,Cumback,William,1829-03-24,M,rep,IN,Ind. Republican-Democrat
3074,Day,Timothy,1819-01-08,M,rep,OH,Ind. Republican-Democrat
3077,Dickson,Samuel,1807-03-29,M,rep,NY,Ind. Republican-Democrat
3078,Dunn,George,1812-12-20,M,rep,IN,Ind. Republican-Democrat
3081,Emrie,Jonas,1812-04-25,M,rep,OH,Ind. Republican-Democrat
3084,Flagler,Thomas,1811-10-12,M,rep,NY,Ind. Republican-Democrat
3086,Fuller,Henry,1820-01-03,M,rep,PA,Ind. Republican-Democrat
3088,Galloway,Samuel,1811-03-20,M,rep,OH,Ind. Republican-Democrat
3089,Gilbert,William,1815-01-25,M,rep,NY,Ind. Republican-Democrat
3092,Harrison,John,1804-10-04,M,rep,OH,Ind. Republican-Democrat
3093,Haven,Solomon,1810-11-27,M,rep,NY,Ind. Republican-Democrat
3097,Holloway,David,1809-12-07,M,rep,IN,Ind. Republican-Democrat
3098,Horton,Thomas,,M,rep,NY,Ind. Republican-Democrat
3099,Hughston,Jonas,,M,rep,NY,Ind. Republican-Democrat
3102,Kennett,Luther,1807-03-15,M,rep,MO,Ind. Republican-Democrat
3104,King,Rufus,1820-01-20,M,rep,NY,Ind. Republican-Democrat
3105,Knight,Jonathan,1787-11-22,M,rep,PA,Ind. Republican-Democrat
3106,Knowlton,Ebenezer,1815-12-06,M,rep,ME,Ind. Republican-Democrat
3107,Knox,James,1807-07-04,M,rep,IL,Ind. Republican-Democrat
3109,Lindley,James,1822-01-01,M,rep,MO,Ind. Republican-Democrat
3111,Mace,Daniel,1811-09-05,M,rep,IN,Ind. Republican-Democrat
3114,McCarty,Andrew,1808-07-14,M,rep,NY,Ind. Republican-Democrat
3116,Meacham,James,1810-08-16,M,rep,VT,Ind. Republican-Democrat
3117,Miller,John,1812-11-29,M,rep,MO,Ind. Republican-Democrat
3118,Miller,Killian,1785-07-30,M,rep,NY,Ind. Republican-Democrat
3120,Moore,Oscar,1817-01-27,M,rep,OH,Ind. Republican-Democrat
3122,Oliver,Mordecai,1819-10-22,M,rep,MO,Ind. Republican-Democrat
3125,Pearce,John,1826-02-28,M,rep,PA,Ind. Republican-Democrat
3127,Pelton,Guy,1824-08-03,M,rep,NY,Ind. Republican-Democrat
3128,Pennington,Alexander,1810-07-02,M,rep,NJ,Ind. Republican-Democrat
3129,Porter,Gilchrist,1817-11-01,M,rep,MO,Ind. Republican-Democrat
3130,Pringle,Benjamin,1807-11-09,M,rep,NY,Ind. Republican-Democrat
3135,Robison,David,1816-05-28,M,rep,PA,Ind. Republican-Democrat
3136,Sabin,Alvah,1793-10-23,M,rep,VT,Ind. Republican-Democrat
3137,Sage,Russell,1816-08-04,M,rep,NY,Ind. Republican-Democrat
3138,Sapp,William,1804-03-04,M,rep,OH,Ind. Republican-Democrat
3139,Scott,Harvey,1818-10-18,M,rep,IN,Ind. Republican-Democrat
3141,Simmons,George,1791-09-08,M,rep,NY,Ind. Republican-Democrat
3145,Stranahan,James,1808-04-25,M,rep,NY,Ind. Republican-Democrat
3147,Thorington,James,1816-05-07,M,rep,IA,Ind. Republican-Democrat
3150,Tyson,Job,1803-02-08,M,rep,PA,Ind. Republican-Democrat
3153,Wakeman,Abram,1824-05-31,M,rep,NY,Ind. Republican-Democrat
3156,Watson,Cooper,1810-06-18,M,rep,OH,Ind. Republican-Democrat
3164,Woodworth,James,1804-12-04,M,rep,IL,Ind. Republican-Democrat
3168,Comegys,Joseph,1813-12-29,M,sen,DE,Ind. Republican-Democrat
3308,Adams,Green,1812-08-20,M,rep,KY,Ind. Republican-Democrat
3311,Anderson,William,1826-12-26,M,rep,KY,Ind. Republican-Democrat
3322,Boteler,Alexander,1815-05-16,M,rep,VA,Ind. Republican-Democrat
3325,Brabson,Reese,1817-09-16,M,rep,TN,Ind. Republican-Democrat
3330,Bristow,Francis,1804-08-11,M,rep,KY,Ind. Republican-Democrat
3361,Etheridge,Emerson,1819-09-28,M,rep,TN,Ind. Republican-Democrat
3367,Gilmer,John,1805-11-04,M,rep,NC,Ind. Republican-Democrat
3375,Hatton,Robert,1826-11-02,M,rep,TN,Ind. Republican-Democrat
3413,Moore,Laban,1829-01-13,M,rep,KY,Ind. Republican-Democrat
3428,Quarles,James,1823-02-08,M,rep,TN,Ind. Republican-Democrat
3442,Smith,William,1812-09-24,M,rep,NC,Ind. Republican-Democrat
