,last_name,first_name,birthday,gender,type,state,party
3633,Hale,James,1810-10-14,M,rep,PA,Ind. Republican
3686,Tracy,Henry,1807-09-24,M,rep,PA,Ind. Republican
3746,Kelso,John,1831-03-23,M,rep,MO,Ind. Republican
3809,Cary,Samuel,1814-02-18,M,rep,OH,Ind. Republican
3886,Selye,Lewis,1803-07-11,M,rep,NY,Ind. Republican
4101,Creely,John,1839-11-14,M,rep,PA,Ind. Republican
4531,Wells,Guilford,1840-02-14,M,rep,MS,Ind. Republican
5029,Lyman,Theodore,1833-08-23,M,rep,MA,Ind. Republican
5240,Anderson,Albert,1837-11-08,M,rep,IA,Ind. Republican
6411,Brown,James,1844-07-14,M,rep,PA,Ind. Republican
6474,Porter,Henry,1840-11-24,M,rep,PA,Ind. Republican
6484,Shiras,George,1859-01-01,M,rep,PA,Ind. Republican
6711,Porter,Peter,1853-10-10,M,rep,NY,Ind. Republican
