,last_name,first_name,birthday,gender,type,state,party
2740,Wright,George,1816-06-04,M,rep,CA,Independent
2981,Lyon,Caleb,1822-12-07,M,rep,NY,Independent
3799,Bashford,Coles,1816-01-24,M,rep,AZ,Independent
4399,Anderson,William,1830-04-02,M,rep,IL,Independent
4404,Bennett,Thomas,1831-02-16,M,rep,ID,Independent
4417,Campbell,Alexander,1814-10-04,M,rep,IL,Independent
4503,Seelye,Julius,1824-09-14,M,rep,MA,Independent
4575,Davis,David,1815-03-09,M,sen,IL,Independent
4923,Smith,John,1824-04-10,M,rep,NY,Independent
4968,Chalmers,James,1831-01-12,M,rep,MS,Independent
5041,Ochiltree,Thomas,1837-10-26,M,rep,TX,Independent
5313,Nichols,John,1834-11-14,M,rep,NC,Independent
6645,Cale,Thomas,1848-09-17,M,rep,AK,Independent
7201,Kent,William,1864-03-29,M,rep,CA,Independent
8584,Norris,George,1861-07-11,M,sen,NE,Independent
9443,Reams,Henry,1897-01-15,M,rep,OH,Independent
10398,Byrd,Harry,1914-12-20,M,sen,VA,Independent
11114,Frazer,Victor,1943-05-24,M,rep,VI,Independent
11305,Jeffords,James,1934-05-11,M,sen,VT,Independent
11338,Barkley,Dean,1950-08-31,M,sen,MN,Independent
11640,Lieberman,Joseph,1942-02-24,M,sen,CT,Independent
12022,Mitchell,Paul,1961-05-08,M,rep,MI,Independent
