,last_name,first_name,birthday,gender,type,state,party
1024,Findlay,William,1768-06-20,M,sen,PA,Jackson
1090,Chandler,John,1762-02-01,M,sen,ME,Jackson
1098,Edwards,Henry,,M,sen,CT,Jackson
1162,Williams,Thomas,,M,sen,MS,Jackson
1166,Cobb,Thomas,,M,sen,GA,Jackson
1168,Alexander,Adam,1781-11-01,M,rep,TN,Jackson
1169,Allen,Robert,1778-06-19,M,rep,TN,Jackson
1171,Ashley,Henry,1778-02-19,M,rep,NY,Jackson
1174,Baylies,Francis,1783-10-16,M,rep,MA,Jackson
1177,Cary,George,1789-08-07,M,rep,GA,Jackson
1178,Cassedy,George,1783-09-16,M,rep,NJ,Jackson
1179,Chambers,Henry,1790-10-01,M,sen,AL,Jackson
1180,Cocke,John,,M,rep,TN,Jackson
1182,Crump,George,1786-09-26,M,rep,VA,Jackson
1183,Dietz,William,1778-06-28,M,rep,NY,Jackson
1185,Edwards,Samuel,1785-03-12,M,rep,PA,Jackson
1186,Edwards,Weldon,1788-01-25,M,rep,NC,Jackson
1188,Farrelly,Patrick,,M,rep,PA,Jackson
1189,Findlay,John,1766-03-31,M,rep,PA,Jackson
1191,Gaillard,John,1765-09-05,M,sen,SC,Jackson
1192,Garnett,Robert,1789-04-26,M,rep,VA,Jackson
1193,Garrison,Daniel,1782-04-03,M,rep,NJ,Jackson
1194,Gist,Joseph,1775-01-12,M,rep,SC,Jackson
1195,Govan,Andrew,1794-01-13,M,rep,SC,Jackson
1196,Harris,Robert,1768-09-05,M,rep,PA,Jackson
1200,Henry,Robert,1788-11-24,M,rep,KY,Jackson
1202,Hines,Richard,,M,rep,NC,Jackson
1208,Johnson,James,1774-01-01,M,rep,KY,Jackson
1209,Kellogg,Charles,1773-10-03,M,rep,NY,Jackson
1212,Krebs,Jacob,1782-03-13,M,rep,PA,Jackson
1215,Lloyd,Edward,1779-07-22,M,sen,MD,Jackson
1216,Macon,Nathaniel,1757-12-17,M,sen,NC,Jackson
1221,McNeill,Archibald,,M,rep,NC,Jackson
1222,Meech,Ezra,1773-07-26,M,rep,VT,Jackson
1223,Meriwether,James,,M,rep,GA,Jackson
1225,Mitchell,James,,M,rep,PA,Jackson
1226,Peter,George,1779-09-28,M,rep,MD,Jackson
1227,Plumer,George,1762-12-05,M,rep,PA,Jackson
1231,Rankin,Christopher,,M,rep,MS,Jackson
1233,Rowan,John,1773-07-12,M,sen,KY,Jackson
1237,Smith,William,,M,rep,VA,Jackson
1239,Ten Eyck,Egbert,1779-04-18,M,rep,NY,Jackson
1240,Thomson,Alexander,1788-01-12,M,rep,PA,Jackson
1245,Wilson,Henry,,M,rep,PA,Jackson
1246,Wilson,John,1773-08-11,M,rep,SC,Jackson
1248,Wurts,John,1792-08-13,M,rep,PA,Jackson
1250,Harper,William,1790-01-17,M,sen,SC,Jackson
1251,Pickens,Israel,1780-01-30,M,sen,AL,Jackson
1254,Smith,William,,M,sen,SC,Jackson
1255,Addams,William,1777-04-11,M,rep,PA,Jackson
1260,Barlow,Stephen,1779-06-13,M,rep,PA,Jackson
1261,Barnard,Isaac,1791-07-18,M,sen,PA,Jackson
1264,Bassett,Burwell,1764-03-18,M,rep,VA,Jackson
1267,Belden,George,1797-03-28,M,rep,NY,Jackson
1274,Bunner,Rudolph,1779-08-17,M,rep,NY,Jackson
1276,Carter,John,1792-09-10,M,rep,SC,Jackson
1281,Eaton,John,1790-06-18,M,sen,TN,Jackson
1282,Ellis,Powhatan,1790-01-17,M,sen,MS,Jackson
1284,Floyd,John,1769-10-03,M,rep,GA,Jackson
1285,Floyd,John,1783-04-24,M,rep,VA,Jackson
1286,Fort,Tomlinson,1787-07-14,M,rep,GA,Jackson
1287,Gale,Levin,1784-04-24,M,rep,MD,Jackson
1289,Garrow,Nathaniel,1780-04-25,M,rep,NY,Jackson
1290,Haile,William,,M,rep,MS,Jackson
1291,Hallock,John,,M,rep,NY,Jackson
1292,Hamilton,James,1786-05-08,M,rep,SC,Jackson
1294,Hobbie,Selah,1797-03-10,M,rep,NY,Jackson
1295,Holcombe,George,,M,rep,NJ,Jackson
1296,Johnson,Jeromus,1775-11-02,M,rep,NY,Jackson
1297,Keese,Richard,1794-11-23,M,rep,NY,Jackson
1298,Kremer,George,1775-11-21,M,rep,PA,Jackson
1303,Marable,John,1786-11-18,M,rep,TN,Jackson
1305,McHatton,Robert,1788-11-17,M,rep,KY,Jackson
1306,McKee,John,,M,rep,AL,Jackson
1307,McLane,Louis,1786-05-28,M,sen,DE,Jackson
1311,Mitchell,James,,M,rep,TN,Jackson
1312,Mitchell,John,1781-03-08,M,rep,PA,Jackson
1313,Moore,Thomas,,M,rep,KY,Jackson
1317,Oakley,Thomas,1783-11-10,M,rep,NY,Jackson
1318,Orr,Robert,1786-03-05,M,rep,PA,Jackson
1319,Owen,George,1796-10-20,M,rep,AL,Jackson
1320,Parris,Albion,1788-01-19,M,sen,ME,Jackson
1323,Ridgely,Henry,1779-08-06,M,sen,DE,Jackson
1325,Sawyer,Lemuel,,M,rep,NC,Jackson
1329,Smith,Samuel,1752-07-27,M,sen,MD,Jackson
1330,Stevenson,James,,M,rep,PA,Jackson
1331,Stower,John,,M,rep,NY,Jackson
1332,Taber,Thomas,1785-05-19,M,rep,NY,Jackson
1333,Tattnall,Edward,,M,rep,GA,Jackson
1336,Turner,Daniel,1796-09-21,M,rep,NC,Jackson
1337,Van Horne,Espy,1825-03-04,M,rep,PA,Jackson
1340,Weems,John,,M,rep,MD,Jackson
1344,Wood,John,1784-02-16,M,rep,NY,Jackson
1351,Iredell,James,1788-11-02,M,sen,NC,Jackson
1352,Prince,Oliver,,M,sen,GA,Jackson
1354,Alston,Willis,,M,rep,NC,Jackson
1357,Barbour,Philip,1783-05-25,M,rep,VA,Jackson
1359,Baylor,Robert,1793-05-10,M,rep,AL,Jackson
1362,Bibb,George,1776-10-30,M,sen,KY,Jackson
1364,Borst,Peter,1797-04-24,M,rep,NY,Jackson
1365,Brown,Elias,1793-05-09,M,rep,MD,Jackson
1368,Coleman,Nicholas,1800-04-22,M,rep,KY,Jackson
1370,Craig,Hector,,M,rep,NY,Jackson
1371,Crocheron,Jacob,1774-08-23,M,rep,NY,Jackson
1373,De Witt,Charles,1789-11-07,M,rep,NY,Jackson
1374,Desha,Robert,1791-01-14,M,rep,TN,Jackson
1375,Dickerson,Mahlon,1770-04-17,M,sen,NJ,Jackson
1378,Dudley,Charles,1780-05-23,M,sen,NY,Jackson
1379,Dudley,Edward,1789-12-15,M,rep,NC,Jackson
1382,Earll,Jonas,,M,rep,NY,Jackson
1385,Forward,Chauncey,1793-02-04,M,rep,PA,Jackson
1387,Fry,Joseph,1781-08-04,M,rep,PA,Jackson
1388,Goodenow,John,,M,rep,OH,Jackson
1389,Green,Innis,1776-02-26,M,rep,PA,Jackson
1391,Halsey,Jehiel,1788-10-07,M,rep,NY,Jackson
1392,Harvey,Jonathan,1780-02-25,M,rep,NH,Jackson
1395,Hemphill,Joseph,1770-01-07,M,rep,PA,Jackson
1396,Hinds,Thomas,1780-01-09,M,rep,MS,Jackson
1399,Ingham,Samuel,1779-09-16,M,rep,PA,Jackson
1400,Irwin,Thomas,1785-02-22,M,rep,PA,Jackson
1403,Kincaid,John,1791-02-15,M,rep,KY,Jackson
1404,King,Perkins,1784-01-12,M,rep,NY,Jackson
1405,Lea,Pryor,1794-08-31,M,rep,TN,Jackson
1406,Leiper,George,1786-02-03,M,rep,PA,Jackson
1407,Livingston,Edward,1764-05-28,M,sen,LA,Jackson
1408,Magee,John,1794-09-03,M,rep,NY,Jackson
1409,Marr,Alem,1787-06-18,M,rep,PA,Jackson
1410,Martin,William,1789-10-20,M,rep,SC,Jackson
1411,Maxwell,Thomas,1792-02-16,M,rep,NY,Jackson
1412,McCreery,William,1786-05-17,M,rep,PA,Jackson
1413,McLean,John,1791-02-04,M,sen,IL,Jackson
1414,Miller,Daniel,,M,rep,PA,Jackson
1415,Monell,Robert,,M,rep,NY,Jackson
1416,Norton,Ebenezer,1774-11-07,M,rep,NY,Jackson
1417,Overton,Walter,,M,rep,LA,Jackson
1418,Pettis,Spencer,,M,rep,MO,Jackson
1420,Powers,Gershom,1789-07-11,M,rep,NY,Jackson
1423,Ripley,James,1786-03-12,M,rep,ME,Jackson
1425,Sanford,Jonah,1790-11-30,M,rep,NY,Jackson
1426,Scott,John,1784-12-25,M,rep,PA,Jackson
1427,Shields,James,1762-04-13,M,rep,OH,Jackson
1430,Smyth,Alexander,,M,rep,VA,Jackson
1432,Spencer,Richard,1796-10-29,M,rep,MD,Jackson
1434,Sprigg,Michael,1791-07-01,M,rep,MD,Jackson
1435,Sterigere,John,1793-07-31,M,rep,PA,Jackson
