,last_name,first_name,birthday,gender,type,state,party
3961,Fenton,Reuben,1819-07-04,M,sen,NY,Liberal Republican
4023,Schurz,Carl,1829-03-02,M,sen,MO,Liberal Republican
4032,Sprague,William,1830-09-12,M,sen,RI,Liberal Republican
4040,Sumner,Charles,1811-01-06,M,sen,MA,Liberal Republican
4046,Tipton,Thomas,1817-08-05,M,sen,NE,Liberal Republican
4081,Blair,James,1825-01-01,M,rep,MO,Liberal Republican
4082,Boarman,Alexander,1839-12-10,M,rep,LA,Liberal Republican
4109,Edwards,John,1805-10-24,M,rep,AR,Liberal Republican
4112,Finkelnburg,Gustavus,1837-04-06,M,rep,MO,Liberal Republican
4225,Bromberg,Frederick,1837-06-19,M,rep,AL,Liberal Republican
4280,Hynes,William,1843-03-31,M,rep,AR,Liberal Republican
4349,Sheridan,George,1840-02-22,M,rep,LA,Liberal Republican
