,last_name,first_name,birthday,gender,type,state,party
4688,Barlow,Bradley,1814-05-12,M,rep,VT,National Greenbacker
4713,De La Matyr,Gilbert,1825-07-08,M,rep,IN,National Greenbacker
4726,Forsythe,Albert,1830-05-24,M,rep,IL,National Greenbacker
4728,Gillette,Edward,1840-10-01,M,rep,IA,National Greenbacker
4771,Russell,Daniel,1845-08-07,M,rep,NC,National Greenbacker
4794,Wright,Hendrick,1808-04-24,M,rep,PA,National Greenbacker
4796,Yocum,Seth,1834-08-02,M,rep,PA,National Greenbacker
4810,Burrows,Joseph,1840-05-15,M,rep,MO,National Greenbacker
4839,Ford,Nicholas,1833-06-21,M,rep,MO,National Greenbacker
4850,Hazeltine,Ira,1821-07-13,M,rep,MO,National Greenbacker
4863,Jones,George,1828-09-05,M,rep,TX,National Greenbacker
4869,Ladd,George,1818-09-28,M,rep,ME,National Greenbacker
4875,Lowe,William,1842-06-12,M,rep,AL,National Greenbacker
4892,Mosgrove,James,1821-06-14,M,rep,PA,National Greenbacker
4893,Murch,Thompson,1838-03-29,M,rep,ME,National Greenbacker
4907,Rice,Theron,1829-09-21,M,rep,MO,National Greenbacker
5088,Weller,Luman,1833-08-24,M,rep,IA,National Greenbacker
5343,Weaver,James,1833-06-12,M,rep,IA,National Greenbacker
