,last_name,first_name,birthday,gender,type,state,party
5569,Clover,Benjamin,1837-12-22,M,rep,KS,Populist
5596,Halvorson,Kittel,1846-12-15,M,rep,MN,Populist
5627,Otis,John,1838-02-10,M,rep,KS,Populist
5635,Peffer,William,1831-09-10,M,sen,KS,Populist
5695,Boen,Haldor,1851-01-02,M,rep,MN,Populist
5717,Cannon,Marion,1834-10-30,M,rep,CA,Populist
5731,Davis,John,1826-08-09,M,rep,KS,Populist
5783,Hudson,Thomas,1839-10-30,M,rep,KS,Populist
5807,McKeighan,William,1842-01-19,M,rep,NE,Populist
5825,Pence,Lafayette,1857-12-23,M,rep,CO,Populist
5888,Baker,William,1831-04-29,M,rep,KS,Populist
5900,Butler,Marion,1863-05-20,M,sen,NC,Populist
5929,Goodwyn,Albert,1842-12-17,M,rep,AL,Populist
5951,Kem,Omer,1855-11-13,M,rep,NE,Populist
6043,Barlow,Charles,1858-03-17,M,rep,CA,Populist
6054,Botkin,Jeremiah,1849-04-24,M,rep,KS,Populist
6060,Castle,Curtis,1848-10-04,M,rep,CA,Populist
6078,Fowler,John,1866-09-08,M,rep,NC,Populist
6080,Gunn,James,1843-03-06,M,rep,ID,Populist
6083,Harris,William,1841-10-29,M,sen,KS,Populist
6091,Howard,Milford,1862-12-18,M,rep,AL,Populist
6099,Kelley,John,1853-03-27,M,rep,SD,Populist
6102,Knowles,Freeman,1846-10-10,M,rep,SD,Populist
6110,Martin,Charles,1848-08-28,M,rep,NC,Populist
6111,Maxwell,Samuel,1825-05-20,M,rep,NE,Populist
6112,McCormick,Nelson,1847-11-20,M,rep,KS,Populist
6128,Peters,Mason,1844-09-03,M,rep,KS,Populist
6138,Shuford,Alonzo,1858-03-01,M,rep,NC,Populist
6140,Simpson,Jeremiah,1842-03-31,M,rep,KS,Populist
6141,Skinner,Harry,1855-05-25,M,rep,NC,Populist
6148,Strowd,William,1832-12-07,M,rep,NC,Populist
6157,Vincent,William,1852-10-11,M,rep,KS,Populist
6172,Allen,William,1847-01-28,M,sen,NE,Populist
6173,Atwater,John,1840-12-27,M,rep,NC,Populist
6213,Greene,William,1849-10-03,M,rep,NE,Populist
6251,Ridgely,Edwin,1844-05-09,M,rep,KS,Populist
6260,Sutherland,Roderick,1862-04-27,M,rep,NE,Populist
6279,Bell,John,1851-12-11,M,rep,CO,Populist
6306,Edwards,Caldwell,1841-01-08,M,rep,MT,Populist
6315,Glenn,Thomas,1847-02-02,M,rep,ID,Populist
6355,Neville,William,1843-12-29,M,rep,NE,Populist
6378,Stark,William,1853-07-29,M,rep,NE,Populist
