,last_name,first_name,birthday,gender,type,state,party
6,Dalton,Tristram,1738-05-28,M,sen,MA,Pro-Administration
7,Elmer,Jonathan,1745-11-29,M,sen,NJ,Pro-Administration
13,Hawkins,Benjamin,1754-08-15,M,sen,NC,Pro-Administration
15,Izard,Ralph,,M,sen,SC,Pro-Administration
16,Johnson,William,1727-10-07,M,sen,CT,Pro-Administration
17,Johnston,Samuel,1733-12-15,M,sen,NC,Pro-Administration
21,Morris,Robert,1734-01-20,M,sen,PA,Pro-Administration
23,Paterson,William,1745-12-24,M,sen,NJ,Pro-Administration
28,Dickinson,Philemon,1739-04-05,M,sen,NJ,Pro-Administration
29,Walker,John,1744-02-13,M,sen,VA,Pro-Administration
45,Sherman,Roger,1721-04-19,M,sen,CT,Pro-Administration
83,Mitchell,Stephen,1743-12-09,M,sen,CT,Pro-Administration
