,last_name,first_name,birthday,gender,type,state,party
7018,Bryan,James,1874-03-11,M,rep,WA,Progressive
7037,Falconer,Jacob,1869-01-26,M,rep,WA,Progressive
7057,Hinebaugh,William,1867-12-16,M,rep,IL,Progressive
7083,MacDonald,William,1873-11-17,M,rep,MI,Progressive
7134,Thomson,Charles,1877-02-13,M,rep,IL,Progressive
7247,Stephens,William,1859-12-26,M,rep,CA,Progressive
8496,Amlie,Thomas,1897-04-17,M,rep,WI,Progressive
8504,Boileau,Gerald,1900-01-15,M,rep,WI,Progressive
8601,Schneider,George,1877-10-30,M,rep,WI,Progressive
8766,Gehrmann,Bernard,1880-02-13,M,rep,WI,Progressive
8790,La Follette,Robert,1895-02-06,M,sen,WI,Progressive
8933,Sauthoff,Harry,1879-06-03,M,rep,WI,Progressive
