,last_name,first_name,birthday,gender,type,state,party
32,Burr,Aaron,1756-02-06,M,sen,NY,Republican
79,Martin,Alexander,,M,sen,NC,Republican
100,Tazewell,Henry,1753-11-27,M,sen,VA,Republican
104,Bloodworth,Timothy,,M,sen,NC,Republican
107,Coles,Isaac,1747-03-02,M,rep,VA,Republican
109,Dearborn,Henry,1751-02-23,M,rep,MA,Republican
110,Duvall,Gabriel,1752-12-06,M,rep,MD,Republican
111,Earle,Samuel,1760-11-28,M,rep,SC,Republican
113,Greenup,Christopher,,M,rep,KY,Republican
116,Hathorn,John,1749-01-09,M,rep,NY,Republican
117,Heath,John,1758-05-08,M,rep,VA,Republican
120,Langdon,John,1741-06-26,M,sen,NH,Republican
122,Lyman,William,1755-12-07,M,rep,MA,Republican
124,Muhlenberg,Frederick,1750-01-01,M,rep,PA,Republican
126,Orr,Alexander,1761-11-06,M,rep,KY,Republican
127,Page,John,1743-04-17,M,rep,VA,Republican
129,Patten,John,1746-04-26,M,rep,DE,Republican
130,Preston,Francis,1765-08-02,M,rep,VA,Republican
132,Richards,John,1753-04-18,M,rep,PA,Republican
133,Rutherford,Robert,1728-10-20,M,rep,VA,Republican
134,Sherburne,John,,M,rep,NH,Republican
136,Sprigg,Thomas,,M,rep,MD,Republican
139,Tatom,Absalom,,M,rep,NC,Republican
142,Blount,William,1749-03-26,M,sen,TN,Republican
145,Hunter,John,,M,sen,SC,Republican
147,Tattnall,Josiah,,M,sen,GA,Republican
149,Benton,Lemuel,,M,rep,SC,Republican
152,Bryan,Nathan,,M,rep,NC,Republican
154,Burges,Dempsey,,M,rep,NC,Republican
161,Foster,Theodore,1752-04-29,M,sen,RI,Republican
162,Freeman,Nathaniel,1766-05-01,M,rep,MA,Republican
163,Harrison,Carter,,M,rep,VA,Republican
167,Locke,Matthew,,M,rep,NC,Republican
169,Mason,Stevens,1760-12-29,M,sen,VA,Republican
171,McClenachan,Blair,,M,rep,PA,Republican
172,McDowell,Joseph,1756-02-15,M,rep,NC,Republican
182,Smith,William,1751-09-20,M,rep,SC,Republican
185,Swanwick,John,,M,rep,PA,Republican
196,Brown,John,1757-09-12,M,sen,KY,Republican
197,Christie,Gabriel,1775-09-12,M,rep,MD,Republican
198,Cocke,William,,M,sen,TN,Republican
207,Eggleston,Joseph,1754-11-24,M,rep,VA,Republican
210,Gallatin,Albert,1761-01-29,M,rep,PA,Republican
212,Goode,Samuel,1756-03-21,M,rep,VA,Republican
217,Havens,Jonathan,1757-06-18,M,rep,NY,Republican
222,Linn,James,,M,rep,NJ,Republican
227,Nicholas,John,,M,rep,VA,Republican
237,Spaight,Richard,1758-03-25,M,rep,NC,Republican
245,Bacon,John,1738-04-05,M,rep,MA,Republican
248,Breckinridge,John,1760-12-02,M,sen,KY,Republican
249,Cabell,Samuel,1756-12-15,M,rep,VA,Republican
250,Colhoun,John,,M,sen,SC,Republican
251,Davis,Thomas,,M,rep,KY,Republican
252,Ellery,Christopher,1768-11-01,M,sen,RI,Republican
253,Elmendorf,Lucas,,M,rep,NY,Republican
261,Jackson,George,1757-01-09,M,rep,VA,Republican
262,Jackson,James,1757-09-21,M,sen,GA,Republican
263,Johnson,Charles,,M,rep,NC,Republican
264,Jones,William,,M,rep,PA,Republican
266,Lincoln,Levi,1749-05-15,M,rep,MA,Republican
267,Logan,George,1753-09-09,M,sen,PA,Republican
280,Smith,Josiah,1738-02-26,M,rep,MA,Republican
281,Sprigg,"Richard,",,M,rep,MD,Republican
283,Taliaferro,Benjamin,,M,rep,GA,Republican
284,Tillinghast,Thomas,1742-08-21,M,rep,RI,Republican
287,Van Ness,John,,M,rep,NY,Republican
289,Williams,Robert,,M,rep,NC,Republican
291,Butler,Pierce,1744-07-11,M,sen,SC,Republican
292,Clinton,De,1769-03-02,M,sen,NY,Republican
294,Bailey,Theodorus,1758-10-12,M,sen,NY,Republican
296,Bowie,Walter,,M,rep,MD,Republican
298,Claiborne,Thomas,1749-02-01,M,rep,VA,Republican
302,Earle,John,1766-10-23,M,rep,SC,Republican
303,Gillespie,James,,M,rep,NC,Republican
306,Hammond,Samuel,1757-09-21,M,rep,GA,Republican
307,Hampton,Wade,,M,rep,SC,Republican
308,Hiester,Daniel,1747-06-25,M,rep,MD,Republican
309,Hoge,John,1760-09-10,M,rep,PA,Republican
311,Larned,Simon,1753-08-03,M,rep,MA,Republican
314,Maclay,Samuel,1741-06-17,M,sen,PA,Republican
315,McCord,Andrew,,M,rep,NY,Republican
317,Mott,James,1739-01-18,M,rep,NJ,Republican
318,Palmer,Beriah,,M,rep,NY,Republican
319,Paterson,John,,M,rep,NY,Republican
320,Phelps,Oliver,1749-10-21,M,rep,NY,Republican
322,Potter,Samuel,1753-06-29,M,sen,RI,Republican
324,Skinner,Thomson,1752-05-24,M,rep,MA,Republican
325,Smith,Israel,1759-04-04,M,sen,VT,Republican
326,Smith,John,,M,sen,OH,Republican
327,Stewart,John,,M,rep,PA,Republican
330,Trigg,John,,M,rep,VA,Republican
331,Van Horne,Isaac,1754-01-13,M,rep,PA,Republican
332,Venable,Abraham,1758-11-20,M,sen,VA,Republican
335,Armstrong,John,1758-11-25,M,sen,NY,Republican
336,Howland,Benjamin,1755-07-27,M,sen,RI,Republican
337,Moore,Andrew,,M,sen,VA,Republican
338,Alexander,Nathaniel,1756-03-05,M,rep,NC,Republican
339,Anderson,Isaac,1760-11-23,M,rep,PA,Republican
340,Archer,John,1741-05-05,M,rep,MD,Republican
341,Baldwin,Abraham,1754-11-22,M,sen,GA,Republican
342,Bedinger,George,1756-12-10,M,rep,KY,Republican
344,Bishop,Phanuel,1739-09-03,M,rep,MA,Republican
345,Bryan,Joseph,1773-08-18,M,rep,GA,Republican
346,Casey,Levi,,M,rep,SC,Republican
347,Clark,Christopher,,M,rep,VA,Republican
348,Conrad,Frederick,,M,rep,PA,Republican
349,Covington,Leonard,1768-10-30,M,rep,MD,Republican
350,Dickson,William,1770-05-05,M,rep,TN,Republican
352,Early,Peter,1773-06-20,M,rep,GA,Republican
354,Elmer,Ebenezer,1752-08-23,M,rep,NJ,Republican
355,Fenner,James,1771-01-22,M,sen,RI,Republican
356,Fowler,John,,M,rep,KY,Republican
359,Halsey,Silas,1743-10-06,M,rep,NY,Republican
