,last_name,first_name,birthday,gender,type,state,party
3603,Hicks,Thomas,1798-09-02,M,sen,MD,Unconditional Unionist
3608,Anderson,Lucien,1824-06-23,M,rep,KY,Unconditional Unionist
3613,Blair,Jacob,1821-04-11,M,rep,WV,Unconditional Unionist
3618,Brown,William,1800-09-25,M,rep,VA,Unconditional Unionist
3626,Davis,Henry,1817-08-16,M,rep,MD,Unconditional Unionist
3647,Knox,Samuel,1815-03-21,M,rep,MO,Unconditional Unionist
3666,Noell,John,1816-02-22,M,rep,MO,Unconditional Unionist
3678,Smithers,Nathaniel,1818-10-08,M,rep,DE,Unconditional Unionist
3711,Creswell,John,1828-11-18,M,sen,MD,Unconditional Unionist
3749,Latham,George,1832-03-09,M,rep,WV,Unconditional Unionist
3760,Randall,William,1812-07-15,M,rep,KY,Unconditional Unionist
3766,Rousseau,Lovell,1818-08-04,M,rep,KY,Unconditional Unionist
3770,Smith,Green,1826-07-04,M,rep,KY,Unconditional Unionist
3777,Thomas,John,1835-05-20,M,rep,MD,Unconditional Unionist
3781,Webster,Edwin,1829-03-31,M,rep,MD,Unconditional Unionist
3783,Whaley,Kellian,1821-05-06,M,rep,WV,Unconditional Unionist
