,last_name,first_name,birthday,gender,type,state,party
2796,Freeman,John,,M,rep,MS,Unionist
2820,Johnson,James,1811-02-12,M,rep,GA,Unionist
2839,Murphey,Charles,1799-05-09,M,rep,GA,Unionist
2840,Nabers,Benjamin,1812-11-07,M,rep,MS,Unionist
2887,Wilcox,John,1819-04-18,M,rep,MS,Unionist
3237,Kennedy,Anthony,1810-12-21,M,sen,MD,Unionist
3487,Bridges,George,1825-10-09,M,rep,TN,Unionist
3488,Browne,George,1811-01-06,M,rep,RI,Unionist
3492,Calvert,Charles,1808-08-24,M,rep,MD,Unionist
3494,Carlile,John,1817-12-16,M,sen,VA,Unionist
3495,Casey,Samuel,1821-02-12,M,rep,KY,Unionist
3500,Clements,Andrew,1832-12-23,M,rep,TN,Unionist
3509,Crisfield,John,1806-11-08,M,rep,MD,Unionist
3510,Crittenden,John,1787-09-10,M,rep,KY,Unionist
3518,Dunlap,George,1813-02-22,M,rep,KY,Unionist
3525,Fisher,George,1817-10-13,M,rep,DE,Unionist
3526,Flanders,Benjamin,1816-01-26,M,rep,LA,Unionist
3535,Harrison,Richard,1824-04-08,M,rep,OH,Unionist
3539,Jackson,James,1823-09-27,M,rep,KY,Unionist
3544,Leary,Cornelius,1813-10-22,M,rep,MD,Unionist
3548,May,Henry,1816-02-13,M,rep,MD,Unionist
3554,Menzies,John,1819-04-12,M,rep,KY,Unionist
3582,Thomas,Benjamin,1813-02-12,M,rep,MA,Unionist
3585,Upton,Charles,1812-08-23,M,rep,VA,Unionist
3595,Wickliffe,Charles,1788-06-08,M,rep,KY,Unionist
3604,Wilson,Robert,,M,sen,MO,Unionist
3605,Wright,Joseph,1810-04-17,M,sen,IN,Unionist
3615,Bowden,Lemuel,1815-01-16,M,sen,VA,Unionist
3620,Clay,Brutus,1808-07-01,M,rep,KY,Unionist
3634,Hall,William,1815-10-15,M,rep,MO,Unionist
3644,King,Austin,1802-09-21,M,rep,MO,Unionist
3653,Mallory,Robert,1815-11-15,M,rep,KY,Unionist
3674,Rollins,James,1812-04-19,M,rep,MO,Unionist
3676,Segar,Joseph,1804-06-01,M,rep,VA,Unionist
3698,Yeaman,George,1829-11-01,M,rep,KY,Unionist
3709,Campbell,William,1807-02-01,M,rep,TN,Unionist
3710,Cooper,Edmund,1821-09-11,M,rep,TN,Unionist
3751,Leftwich,John,1826-09-07,M,rep,TN,Unionist
3774,Taylor,Nathaniel,1819-12-29,M,rep,TN,Unionist
6809,Larrinaga,Tulio,1847-01-15,M,rep,PR,Unionist
7233,Rivera,Luis,1859-07-17,M,rep,PR,Unionist
8104,Dávila,Félix,1878-11-20,M,rep,PR,Unionist
