,last_name,first_name,birthday,gender,type,state,party
1148,Tracy,Albert,1793-06-17,M,rep,NY,Whig
1562,Black,John,,M,sen,MS,Whig
1611,Kent,Joseph,1779-01-14,M,sen,MD,Whig
1640,Robbins,Asher,1761-10-26,M,sen,RI,Whig
1648,Swift,Benjamin,1781-04-03,M,sen,VT,Whig
1661,Allan,Chilton,1786-04-06,M,rep,KY,Whig
1665,Bailey,Jeremiah,1773-05-01,M,rep,ME,Whig
1679,Chetwood,William,1771-06-17,M,rep,NJ,Whig
1684,Crane,Joseph,1782-08-31,M,rep,OH,Whig
1695,Fuller,Philo,1787-08-14,M,rep,NY,Whig
1698,Goldsborough,Robert,1779-01-04,M,sen,MD,Whig
1701,Hard,Gideon,1797-04-29,M,rep,NY,Whig
1702,Hardin,Benjamin,1784-02-29,M,rep,KY,Whig
1703,Harper,James,1780-03-28,M,rep,PA,Whig
1706,Hazeltine,Abner,1793-06-10,M,rep,NY,Whig
1709,Hoar,Samuel,1778-05-18,M,rep,MA,Whig
1710,Howell,Elias,,M,rep,OH,Whig
1723,Knight,Nehemiah,1780-12-31,M,sen,RI,Whig
1727,Lay,George,1798-07-26,M,rep,NY,Whig
1732,Love,Thomas,1789-11-30,M,rep,NY,Whig
1741,McComas,William,,M,rep,VA,Whig
1750,Pearson,John,1800-10-25,M,rep,PA,Whig
1751,Pettigrew,Ebenezer,1783-03-10,M,rep,NC,Whig
1762,Shepard,William,1799-05-14,M,rep,NC,Whig
1766,Spangler,David,1796-12-02,M,rep,OH,Whig
1768,Storer,Bellamy,1796-03-26,M,rep,OH,Whig
1779,White,Hugh,1773-10-30,M,sen,TN,Whig
1786,Spence,John,1788-02-29,M,sen,MD,Whig
1789,Alexander,James,1789-10-17,M,rep,OH,Whig
1790,Allen,Heman,1777-06-14,M,rep,VT,Whig
1801,Calhoon,John,,M,rep,KY,Whig
1804,Chambers,John,1780-10-06,M,rep,KY,Whig
1806,Cheatham,Richard,1799-02-20,M,rep,TN,Whig
1812,Coffin,Charles,1805-09-09,M,rep,OH,Whig
1817,Dunn,George,1794-11-15,M,rep,IN,Whig
1819,Ewing,John,1789-05-19,M,rep,IN,Whig
1826,Graham,William,1782-03-16,M,rep,IN,Whig
1830,Grennell,George,1786-12-25,M,rep,MA,Whig
1833,Harlan,James,1800-06-22,M,rep,KY,Whig
1836,Herod,William,1801-03-31,M,rep,IN,Whig
1846,Lawler,Joab,1796-06-12,M,rep,AL,Whig
1850,Loomis,Andrew,1797-06-27,M,rep,OH,Whig
1853,Lyon,Francis,1800-02-25,M,rep,AL,Whig
1855,Maury,Abram,1801-12-26,M,rep,TN,Whig
1859,Menefee,Richard,1809-12-04,M,rep,KY,Whig
1860,Milligan,John,1795-12-10,M,rep,DE,Whig
1863,Morris,Mathias,1787-09-12,M,rep,PA,Whig
1869,Noyes,Joseph,1798-09-22,M,rep,ME,Whig
1873,Patterson,William,1789-06-04,M,rep,NY,Whig
1876,Phillips,Stephen,1801-11-04,M,rep,MA,Whig
1878,Prentiss,Samuel,1782-03-31,M,sen,VT,Whig
1879,Prentiss,Seargent,1808-09-30,M,rep,MS,Whig
1880,Preston,William,1794-12-27,M,sen,SC,Whig
1884,Robertson,John,1787-04-13,M,rep,VA,Whig
1885,Robinson,Edward,1796-11-25,M,rep,ME,Whig
1886,Rumsey,Edward,1796-11-05,M,rep,KY,Whig
1887,Sawyer,Samuel,,M,rep,NC,Whig
1890,Shields,Ebenezer,1778-12-22,M,rep,TN,Whig
1891,Sibley,Mark,,M,rep,NY,Whig
1893,Smith,Oliver,1794-10-23,M,sen,IN,Whig
1896,Southgate,William,1800-11-27,M,rep,KY,Whig
1898,Standifer,James,,M,rep,TN,Whig
1899,Stone,William,1791-01-26,M,rep,TN,Whig
1907,Whittlesey,Elisha,1783-10-19,M,rep,OH,Whig
1909,Word,Thomas,,M,rep,MS,Whig
1911,Merrick,William,1793-10-25,M,sen,MD,Whig
1914,Allen,John,,M,rep,OH,Whig
1916,Alvord,James,1808-04-14,M,rep,MA,Whig
1918,Anderson,Simeon,1802-03-02,M,rep,KY,Whig
1921,Betts,Thaddeus,1789-02-04,M,sen,CT,Whig
1923,Bond,William,1792-10-02,M,rep,OH,Whig
1924,Brackenridge,Henry,1786-05-11,M,rep,PA,Whig
1925,Brown,Anson,,M,rep,NY,Whig
1929,Carter,William,1792-10-22,M,rep,TN,Whig
1931,Chinn,Thomas,1791-11-22,M,rep,LA,Whig
1934,Crabb,George,1804-02-22,M,rep,AL,Whig
1937,Crockett,John,1807-07-10,M,rep,TN,Whig
1938,Curtis,Edward,1801-10-25,M,rep,NY,Whig
1943,Dennis,John,,M,rep,MD,Whig
1945,Dixon,Nathan,1774-12-13,M,sen,RI,Whig
1946,Doe,Nicholas,1786-06-16,M,rep,NY,Whig
1955,Garland,Rice,,M,rep,LA,Whig
1956,Graves,William,,M,rep,KY,Whig
1958,Grinnell,Moses,1803-03-03,M,rep,NY,Whig
1963,Hawes,Richard,1797-02-06,M,rep,KY,Whig
1965,Henderson,John,1797-02-28,M,sen,MS,Whig
1967,Hill,John,1800-07-18,M,rep,VA,Whig
1969,Hoffman,Josiah,1793-05-03,M,rep,NY,Whig
1971,Holt,Hines,1805-04-27,M,rep,GA,Whig
1974,Jenifer,Daniel,1791-04-15,M,rep,MD,Whig
1975,Johnston,Charles,1793-02-14,M,rep,NY,Whig
1978,Kempshall,Thomas,,M,rep,NY,Whig
